,accel [g],aerodrag,gap [m],lift per assy [N],position [m],time [s],velocity [m/s]
86,-1.52063411663,676.504074996,0.0025,9999.19550399,123.508791658,0.86,137.215589963
87,-1.52077346078,675.03381436,0.0025,9997.20006311,124.88020163,0.87,137.066402087
88,-1.52091332723,673.565018137,0.0025,9995.2044387,126.250119654,0.88,136.917200489
89,-1.52105371619,672.097686263,0.0025,9993.20863009,127.618545594,0.89,136.76798512
90,-1.52119462784,670.63181868,0.0025,9991.21263659,128.985479311,0.9,136.618755927
91,-1.52133606237,669.167415328,0.0025,9989.2164575,130.350920666,0.91,136.469512859
92,-1.52147801997,667.704476151,0.0025,9987.22009215,131.714869521,0.92,136.320255865
93,-1.52162050083,666.243001096,0.0025,9985.22353984,133.077325737,0.93,136.170984894
94,-1.52176350515,664.782990109,0.0025,9983.2267999,134.438289173,0.94,136.021699894
95,-1.52190703312,663.324443141,0.0025,9981.22987163,135.797759688,0.95,135.872400815
96,-1.52205108493,661.867360144,0.0025,9979.23275435,137.155737142,0.96,135.723087603
97,-1.52219566078,660.411741072,0.0025,9977.23544737,138.512221393,0.97,135.573760209
98,-1.52234076085,658.957585881,0.0025,9975.23794999,139.867212299,0.98,135.42441858
99,-1.52248638536,657.504894529,0.0025,9973.24026154,141.220709717,0.99,135.275062666
100,-1.52263253449,656.053666977,0.0025,9971.24238133,142.572713504,1.0,135.125692414
101,-1.52277920844,654.603903186,0.0025,9969.24430866,143.923223517,1.01,134.976307774
102,-1.52292640741,653.155603121,0.0025,9967.24604285,145.272239611,1.02,134.826908693
103,-1.5230741316,651.708766749,0.0025,9965.2475832,146.619761643,1.03,134.677495121
104,-1.52322238121,650.263394038,0.0025,9963.24892903,147.965789465,1.04,134.528067005
105,-1.52337115644,648.819484958,0.0025,9961.25007966,149.310322934,1.05,134.378624295
106,-1.52352045749,647.377039483,0.0025,9959.25103438,150.653361902,1.06,134.229166938
107,-1.52367028456,645.936057586,0.0025,9957.25179251,151.994906224,1.07,134.079694883
108,-1.52382063786,644.496539246,0.0025,9955.25235335,153.334955751,1.08,133.930208078
109,-1.52397151758,643.058484439,0.0025,9953.25271623,154.673510336,1.09,133.780706473
110,-1.52412292394,641.621893149,0.0025,9951.25288044,156.010569831,1.1,133.631190014
111,-1.52427485713,640.186765357,0.0025,9949.2528453,157.346134087,1.11,133.48165865
112,-1.52442731736,638.753101048,0.0025,9947.25261011,158.680202954,1.12,133.33211233
